"input_id","input_type","dataset_name","file_name","relative_path","file_format","sheet_or_range_or_table","description_and_role","variables_used","geographic_coverage","age_coverage","sex_coverage","time_coverage","unit_of_observation","source_institution","original_source_publication","source_url","consuming_scripts","consuming_functions","pipeline_stage","update_frequency_or_reference_version","availability_in_repo","processing_notes_assumptions_limitations","manual_confirmation_needed"
"bgmx_trend_all_cause","processed_file","Forecast background-mortality trend, all-cause envelope","tps_bgmx_all_forecasted.rds","data/processed/tps_bgmx_all_forecasted.rds","rds (31008 x 6)","NA","Year-on-year percent change applied to the all-cause background mortality envelope BG.mx.all after 2019.","age; sex; cause; year; percent_diff. Unused: percent_lag","None - no location dimension; applied globally","20-95 single-year","Female, Male","2000-2050 on file; only year > 2019 applied","age x sex x cause x year (global)","Project-internal forecast (UW / RTSL)","Derived from GBD historical all-cause mortality; generating script not in this repository","NA","code/05_build_baseline.R (L291-315)","readRDS(); merge(); BG.mx.all rescaling (flag run_bgmx_trend)","05_build_baseline (mortality trend, flag run_bgmx_trend)","Regenerated when the mortality forecast is refreshed","committed","Same global-trend assumption as tps_bgmx_forecasted.rds. The file carries a cause column even though it represents the all-cause envelope, and the join is on cause, so the trend is matched cause-by-cause.","Whether the all-cause envelope trend should be cause-matched in the join"
"cf_trend_cvd","processed_file","Forecast case-fatality trend, CVD causes","tps_bgmx_cvd_forecasted.rds","data/processed/tps_bgmx_cvd_forecasted.rds","rds (31008 x 6)","NA","Year-on-year percent change used to bend case fatality (CF) downwards after 2019. In the default configuration only 80 percent of the trend is applied (run_CF_trend_80), the remaining 20 percent being attributed to historical hypertension-control improvement rather than to secular change.","age; sex; cause; year; percent_diff. Dropped/unused: BG.mx.all; percent_lag","None - no location dimension; applied globally","20-95 single-year","Female, Male","2000-2050 on file; only year > 2019 applied","age x sex x cause x year (global)","Project-internal forecast (UW / RTSL)","Derived from GBD historical CVD mortality/case-fatality trends; generating script not in this repository","NA","code/05_build_baseline.R (L339-366)","readRDS(); merge(); CF rescaling (flags run_CF_trend, run_CF_trend_80)","05_build_baseline (case-fatality trend)","Regenerated when the mortality forecast is refreshed","committed","The 0.8 attenuation factor is a modelling judgement hard-coded in 05 (L360) and documented only as a comment in 00_run_model.R. Global trend applied to all countries.","Evidence base for the 80/20 split between secular decline and hypertension-control improvement"
"cf_trend_cvd_ihme_alt","processed_file","Alternative IHME-based case-fatality trend (inactive branch)","tps_bgmx_cvd_ihme.rds","data/processed/tps_bgmx_cvd_ihme.rds","rds (204 x 3)","NA","Alternative cause-year case-fatality trend used only when run_CF_trend_ihme = TRUE (FALSE in the current configuration).","year; cause; percent_diff","None - global","None - no age dimension (cause x year only)","NA","2000-2050; only year > 2019 applied","cause x year (global)","Institute for Health Metrics and Evaluation (IHME) forecasts, processed by the project","IHME Foresight/GBD forecasting outputs (exact release not recorded in code)","NA","code/05_build_baseline.R (L322-334) - only under run_CF_trend_ihme = TRUE","readRDS(); merge(); CF rescaling","05_build_baseline (alternative case-fatality trend; currently inactive)","IHME forecast release (unrecorded)","committed","Inactive in the current run (run_CF_trend_ihme = FALSE in 00_run_model.R). Coarser than the active trend (no age or sex dimension), so switching branches changes the age pattern of case fatality, not just its level.","Which IHME forecast release this is; whether the branch is still needed"
"ettehad_rr_per_10mmhg","processed_file","Ettehad meta-analysis relative risks per 10 mmHg SBP reduction, by baseline SBP stratum","ettehad_rr_bp_reduction_10mmHg.csv","data/processed/ettehad_rr_bp_reduction_10mmHg.csv","csv (36 x 5)","NA","The exposure-response core of the sodium-to-CVD pathway: relative risk per 10 mmHg lower SBP by baseline SBP stratum and outcome. Mapped onto the model 8 SBP bins and 4 causes and used to convert the modelled SBP reduction into an incidence-rate reduction.","Cause; SBP_Category; RR. Present but unused: CI_lower; CI_upper","Global (trial meta-analysis; applied to all countries)","Not age-specific (single RR schedule applied to ages 20-95)","Not sex-specific","Time-invariant (2016 publication)","outcome (cause) x baseline SBP stratum","Published meta-analysis (The Lancet)","Ettehad D, et al. Blood Pressure Lowering for Prevention of Cardiovascular Disease and Death: A Systematic Review and Meta-Analysis. The Lancet 2016;387(10022):957-967. doi:10.1016/S0140-6736(15)01225-8","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01225-8/fulltext","code/07_run_interventions.R (L172-217); code/06_run_scenarios_targets.R (L85-130)","fread(); map_bp(); calculate_sodium_impact_etihad()","06/07 - Section 2 (ETIHAD RR setup)","Static literature parameter (2016 publication); update only if the effect-size source changes","committed","Only 3 of the 6 tabulated outcomes are used: Coronary heart disease -> ihd, Heart failure -> hhd, Stroke -> istroke. Haemorrhagic stroke (hstroke) has NO separate RR and simply copies the ischaemic-stroke values. The 5 published SBP strata are mapped onto the model 8 bins (<120 and 120-129 both take the <130 RR; 160-169, 170-179 and 180+ all take the >=160 RR), so within-group heterogeneity is lost. The Total stratum is dropped. Confidence intervals are not carried, so no RR uncertainty propagates. Effects are assumed linear in SBP via the 0.1 x sbp_reduction scaling.","Whether copying the ischaemic-stroke RR to haemorrhagic stroke is the intended treatment; who transcribed the csv from the publication"
"ettehad_cumulative_effects_by_bin","processed_file","Cumulative ETIHAD effect sizes by SBP bin and cause, with and without diabetes","ettehad_rr_bp_reduction_effects.xlsx","data/processed/ettehad_rr_bp_reduction_effects.xlsx","xlsx (40 x 7)","Sheet1","Pre-computed cumulative relative risks and effect sizes per SBP bin and cause, separately for people with and without diabetes; combined into a diabetes-weighted effect size by calculate_etihad_cumulative_rr().","cause; bp_cat; effect_size_nodiabetes; effect_size_diabetes (used). Present but unused in the active path: rr_per_10mmhg; cummulative_rr_nodiabetes; cummulative_rr_diabetes","Global (applied to all countries)","Not age-specific","Not sex-specific","Time-invariant","cause x SBP bin (8 bins x 5 causes including aod)","Project-derived from the Ettehad meta-analysis","Computed by the project from Ettehad D, et al. The Lancet 2016;387(10022):957-967","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01225-8/fulltext","code/07_run_interventions.R (L220-222, L980-999); code/06_run_scenarios_targets.R (L133-135)","readxl::read_excel(); calculate_etihad_cumulative_rr()","06/07 - Section 2 (ETIHAD RR setup) and Section 4 (effect sizes)","Static; regenerate if the underlying RR source or bin mapping changes","committed","The diabetes weight passed to calculate_etihad_cumulative_rr() is the country-age-sex diabetes prevalence from bp_data6.csv (the function default of 0.1 is not used in the active path). Includes an aod (dementia) row that the sodium-only run does not use. The spreadsheet is an intermediate calculation with no in-repo generating script, so the arithmetic linking it to the published RRs cannot be re-verified here.","Generating workbook/formulas behind the cumulative and effect-size columns"
"sodium_policy_scenarios","processed_file","Baseline sodium/salt intake and reduction-target scenarios by country-year","sodium_policy_scenarios.rds","data/processed/sodium_policy_scenarios.rds","rds (6144 x 8)","NA","Population mean sodium and salt intake by country-year plus the Progress (15 percent) and Aspirational (30 percent) reduction trajectories. In the active run only the 2024 sodium_current value is used, as the baseline intake to which the source-split efficacy fraction is applied.","location; year; sodium_current (used in 07). Also present: salt_current; sodium_target_prog; sodium_target_asp; salt_target_prog; salt_target_asp (used by 06_targets and the report)","192 locations","None - population mean per country (population-weighted across age-sex when built in 02)","None - both sexes combined","2019-2050 (2019-2024 observed/held, 2025-2030 linear ramp, held flat thereafter)","location x year","Project-internal (UW / RTSL), built from a sodium-intake dataset in 02_load_inputs.R","Built in code/02_load_inputs.R from data/processed/Sodium/sodium_data.rds (upstream intake source not documented in code; candidate references in docs/references.bib are Powles et al. BMJ Open 2013 and GBD dietary-risk exposure)","NA","code/07_run_interventions.R (prepare_sodium_data, L1009-1020); code/06_run_scenarios_targets.R (L424); reports/report.RMD (L405); written by code/02_load_inputs.R (L169)","readRDS(); prepare_sodium_data(); merge() into data.in as the salt column","02_load_inputs (build) -> 07_run_interventions Section 5 (sodium data preparation)","Regenerate when the sodium-intake source is updated; the file is the committed artifact of a 02 run","committed (its upstream input data/processed/Sodium/sodium_data.rds is NOT in the repository)","The active run uses ONLY the year-2024 sodium_current column; the prog/asp target columns are legacy (the source-split logic in 07 derives its own reduction fraction). Country intake is a single population mean (age-sex detail collapsed by population weighting in 02), so the sodium effect has no age or sex gradient. The intake series is flat from 2024 onwards in the counterfactual. Salt is converted with a 2.54 g salt per g sodium factor elsewhere in the code.","Upstream sodium-intake dataset, its citation, survey years and whether 24-h urine or dietary-recall based"
"sodium_source_shares","processed_file","Per-country sodium source shares (five sources)","sodium_source_shares.rds","data/processed/sodium_source_shares.rds","rds (11 x 6)","NA","The share of total dietary sodium coming from each of five sources (discretionary, packaged, restaurant, public, inherent) per country, plus a default row. Each intervention documented reduction is applied only to the sources it can affect, and the share-weighted composition gives the country-specific salteff.","location; discretionary; packaged; restaurant; public; inherent","10 priority countries (Viet Nam, Philippines, Bangladesh, China, Ethiopia, India, Malaysia, Thailand, Nigeria, Cameroon) plus a 'default' row for any other country","None (adult population assumed; see the ADULT_POPULATION_ONLY caveat)","None","Time-invariant, except that the packaged share is grown in-memory to its 2030 end state when run_packaged_trend = TRUE","location x sodium source","Resolve to Save Lives sodium policy documentation; underlying literature review","RTSL sodium policy document country source-share tables; methodological basis Bhat S, Marklund M, et al. A Systematic Review of the Sources of Dietary Salt Around the World. Advances in Nutrition 2020;11(3):677-686. doi:10.1093/advances/nmz134","https://www.sciencedirect.com/science/article/pii/S2161831322002927","code/07_run_interventions.R (built L376-449, written and re-read L629-630, trended L734-786, exported to workers L1715)","build_sodium_source_shares(); readRDS(); compute_total_efficacy()","07_run_interventions Section 3 (source-split intervention logic)","Updated when RTSL supplies revised country source shares; current values are the 'summary table' revision superseding an earlier hard-coded block that is retained commented-out at L339-374","committed, but regenerated (overwritten) on every 07 run","The values are hard-coded inside build_sodium_source_shares() rather than read from a data file, so the .rds is an output of code, not an independent input. Every row is renormalised to sum to 1 (the Viet Nam values as documented sum to 1.12). Proxy profiles: Bangladesh uses India, Malaysia uses the Philippines, Cameroon uses Nigeria. The 'default' row is the unweighted mean of the 10 country profiles. The flat public-procurement share (0.02, or 0.05 for Nigeria/Cameroon) is school-inclusive while the model is adults-only: the run only proceeds because ADULT_POPULATION_ONLY = FALSE, and 07 prints a PROVISIONAL caveat, so public_procurement and full_package results are provisional. 'inherent' sodium is never targeted by any intervention.","RTSL adults-only per-country public-procurement shares (blocking for non-provisional results); source and vintage of each country source-share estimate; whether the Nigeria/Cameroon 0.05 public share should also be revised"
"packaged_food_trend_rates","processed_file","Packaged-food consumption growth rate per country (median APC)","packaged_food_trends.rds","data/processed/packaged_food_trends.rds","rds (10 x 2)","NA","One annual growth rate g per country, the median Euromonitor APC over sodium-relevant leaf categories. Used to intensify the packaged sodium-source share to its 2030 end state, renormalising the other sources.","geography; g","10 geographies (as the Euromonitor extract; 'Vietnam' mapped to 'Viet Nam')","NA","NA","Growth rate applied over 2025-2030, then held constant (PACKAGED_TREND_AFTER_2030 = hold_constant)","geography","Euromonitor International (via RTSL), aggregated by the project","Derived in code/03_clean_inputs.R from Euromonitor_trends_RTSL.xlsx, sheet Predictions (2025-2030)","NA","code/07_run_interventions.R (L734-786); reports/report.RMD (L712); written by code/03_clean_inputs.R (L51)","readRDS(); in-memory packaged-share intensification and renormalisation","03_clean_inputs (build) -> 07_run_interventions (Task 4b)","Rebuilt whenever the Euromonitor extract is refreshed (run 03 before 07)","committed","MVP simplification: the 2030 end-state intensification factor (1 + g)^5 is applied as a single representative value for ALL years, so salteff stays a scalar. This overstates the packaged weight in 2026-2029, mitigated by the scale-up ramp. Only source COMPOSITION changes - total sodium intake is unchanged. Countries absent from the file (and the 'default' row) get I = 1. Retail volume growth is assumed to translate one-for-one into packaged sodium share growth. 07 stops with an error if run_packaged_trend = TRUE and this file is missing.","Whether the year-indexed (rather than 2030 end-state) share is required for the final analysis"
"country_groupings_extended","processed_file","Country ISO3 and region crosswalk","Country_groupings_extended.csv","data/processed/Country_groupings_extended.csv","csv (200 x 3)","NA","Crosswalk from model location names to iso3 codes and regions; used for labelling and grouping in the reporting layer.","iso3; location; region","200 locations","NA","NA","Time-invariant","location","Project-internal crosswalk (World Bank / GBD groupings)","NA - assembled by the project; the World Bank income grouping column referenced by 02 (wb2021) is absent from this committed version","NA","reports/report.RMD (L393). code/02_load_inputs.R (L1115, L1164) reads a DIFFERENT copy from the repository root with columns location_gbd and wb2021, which is not present","fread(); left_join() for labelling","reporting (and 02_load_inputs, broken path)","Static; refresh if World Bank income groups or GBD location names change","committed","Two incompatible versions of this filename exist in the project history: the committed data/processed copy (iso3, location, region) and the root-level copy expected by 02 (location_gbd, iso3, wb2021). One location label is mojibaked (Korea, Dem. People?s Rep.). Not used by the active model run.","Which version is authoritative; whether the wb2021 income column is still needed"
"intervention_effect_sizes","in_script_parameter","Per-source intervention effect sizes (EFF_* constants and intervention_effects table)","07_run_interventions.R","code/07_run_interventions.R (L244-320)","R constants / in-script data.table","intervention_effects (7 rows: intervention x source x effect); intervention_registry (6 rows)","The fractional reduction each intervention achieves in the sodium contributed by the source(s) it targets: public food procurement 0.20 of 'public'; media campaigns 0.010 of 'discretionary' and 'packaged'; front-of-pack labelling 0.138 of 'packaged'; salt targets/reformulation 0.20 of 'packaged'; fiscal policy 0.10 x 1.00 taxable share of 'packaged'; low-sodium salt substitutes 0.15 of 'discretionary'. Composed within a source as 1 - prod(1 - eff) and share-weighted into salteff.","EFF_PROCUREMENT_PUBLIC; EFF_MEDIA; EFF_FOPL_PACKAGED; EFF_SALTTARGETS_PACKAGED; FISCAL_EFFECT_ON_TAXED_PACKAGED; TAXABLE_PACKAGED_SHARE; EFF_FISCAL_PACKAGED; EFF_LSS_DISCRETIONARY","Global - the same effect sizes for every country (country variation enters only through the source shares)","Adults 20+ (whole modelled population; LSS variants restrict reach to raised-BP bins)","Not sex-specific","Full effect at 2030 after a linear 2026-2030 scale-up (SCALEUP_YEAR1/SCALEUP_YEAR2)","intervention x sodium source","Resolve to Save Lives (policy effect-size tables); SSaSS trial for LSS","RTSL sodium policy document intervention effect-size tables. LSS value derived from Neal B, et al. Effect of Salt Substitution on Cardiovascular Events and Death. N Engl J Med 2021;385:1067-1077 (net -350 mg/day sodium at 91.7 percent use over a 4.3 g/day baseline with a 0.594 China discretionary share -> ~0.15)","https://www.nejm.org/doi/pdf/10.1056/NEJMoa2105675","code/07_run_interventions.R (L282-320, L466-516, L667-712, exported to workers L1716)","compute_total_efficacy(); build_scenario_configs(); calculate_sodium_impact_etihad()","07_run_interventions Section 3 (source-split intervention logic)","Reviewed with each RTSL effect-size revision; fiscal and LSS values flagged provisional as of 2026-07-23","in code (no external data file)","Fiscal policy is an MVP placeholder: a fixed 0.10 effect with TAXABLE_PACKAGED_SHARE = 1.00 (all packaged sodium assumed taxed, explicitly flagged as likely too high); the elasticity-based approach (Green et al. BMJ 2013) is out of MVP scope. The salt-targets 0.20 has a 0.15 conservative floor for sensitivity. The LSS 0.15 is a sodium-channel-only lower bound: the SSaSS potassium benefit is not modelled (sensitivity range 0.12-0.18). media_campaign is intentionally excluded from all reported scenarios (July 14 decision) but retained in the registry. LSS is flagged placeholder = TRUE and is therefore kept OUT of full_package (include_placeholders_in_package = FALSE).","RTSL confirmation of the fiscal effect and taxable share; citation for each non-LSS effect size; whether media campaigns stay excluded"
"filippini_sodium_sbp_dose_response","in_script_parameter","Sodium-to-SBP dose-response coefficients","07_run_interventions.R / 01_utils.R / 04_define_intervention.R","code/07_run_interventions.R (L1170); code/01_utils.R (L58-59); code/04_define_intervention.R (L47)","R constants (inline formula coefficients)","NA","Converts a sodium/salt reduction into an SBP reduction: in the active path sbp_reduction = (2.8 x raisedBP + 1.0 x (1 - raisedBP)) x salt_reduction, i.e. 2.8 mmHg per gram for people with raised BP and 1.0 mmHg per gram otherwise.","2.8 and 1.0 (07, active); 1.12 and 0.58 (get.bp.prob in 01_utils.R); 1.23 and 0.55 (04_define_intervention.R, inactive)","Global","Not age-specific","Not sex-specific","Time-invariant","mmHg per gram per day, by raised-BP status","Published dose-response meta-analysis (Circulation)","Filippini T, et al. Blood Pressure Effects of Sodium Reduction: Dose-Response Meta-Analysis of Experimental Studies. Circulation 2021;143(16):1542-1567. doi:10.1161/CIRCULATIONAHA.120.050371","https://pmc.ncbi.nlm.nih.gov/articles/PMC8055199/","code/07_run_interventions.R (calculate_sodium_impact_etihad, L1170); code/01_utils.R (get.bp.prob, L58-59); code/06_run_scenarios_targets.R","calculate_sodium_impact_etihad(); get.bp.prob(); get_bp_prob_salt()","07_run_interventions Section 6 (core sodium intervention model)","Static literature parameter (2021 publication)","in code (no external data file)","Three different coefficient pairs coexist in the codebase for the same conceptual quantity (2.8/1.0 in the active 07 path; 1.12/0.58 in get.bp.prob, which still shifts the BP distribution when salteff is passed to it; 1.23/0.55 in the unused 04 implementation). Units must be read carefully: the 07 path operates on the intake column populated with SODIUM grams while the older app coefficients assume SALT grams (2.54 g salt per g sodium). The response is assumed linear in the reduction with no saturation, and identical for all ages and both sexes.","Which coefficient pair is authoritative and whether each is expressed per gram of sodium or per gram of salt"
"lss_trial_rr_and_coverage","in_script_parameter","LSS (salt-substitute) trial relative risks and coverage placeholders","07_run_interventions.R","code/07_run_interventions.R (L92-99, L1126-1166)","R constants","NA","The trial-RR pathway for low-sodium salt substitutes: stroke incidence multiplier 0.90 (nonfatal-stroke RR) and case-fatality multiplier 0.77/0.90 = 0.856, blended toward 1 by the reached fraction, plus the coverage assumptions defining who is reached (whole population 0.50; HEARTS diagnosed 0.33; treated 0.25).","RR_STROKE_INCIDENCE = 0.90; RR_STROKE_CF = 0.77/0.90; LSS_COVERAGE_ALL = 0.50; HTN_DIAGNOSED_COV = 0.33; HTN_TREATED_COV = 0.25","Global (trial conducted in rural China; applied to all modelled countries)","Adults; the raised-BP bins (SBP >= 140) are used as an MVP proxy for diagnosed/treated hypertension","Not sex-specific","Ramped over the 2026-2030 scale-up window, then held","cause (stroke) x reach category","Published randomised trial (SSaSS)","Neal B, et al. Effect of Salt Substitution on Cardiovascular Events and Death. N Engl J Med 2021;385:1067-1077. doi:10.1056/NEJMoa2105675","https://www.nejm.org/doi/pdf/10.1056/NEJMoa2105675","code/07_run_interventions.R (L1088-1166 and the Step 8-9 branch)","calculate_sodium_impact_etihad(); build_scenario_configs() (LSS scenario variants 2/4/5)","07_run_interventions Section 6 (LSS trial-RR pathway)","Static trial parameters; the coverage values are placeholders pending RTSL/HEARTS inputs","in code (no external data file)","The three coverage values are explicit placeholders (RTSL to confirm) and drive the LSS results directly. The trial-RR and sodium-to-SBP channels are mutually exclusive for stroke by design (guardrail at Step 8-9) to avoid double counting. The total-stroke RR 0.86 is not applied separately because 0.90 x 0.856 reproduces it. Non-stroke causes get no trial effect. SBP >= 140 is a proxy for diagnosed/treated hypertension rather than a coverage-linked eligibility. LSS is a placeholder intervention and is excluded from full_package.","RTSL / HEARTS-linked coverage values for whole-population, diagnosed and treated LSS reach"
"sodium_policy_cost_parameters","in_script_parameter","Sodium policy per-capita cost parameters","06_run_scenarios_targets.R / 07_run_interventions.R","code/06_run_scenarios_targets.R (L154-197, L859-899); code/07_run_interventions.R (L824-855)","R constants / function defaults","default_sodium_policy_table() (5 policy rows with unit_cost)","Annual per-capita USD implementation costs by policy component (reformulation, package labelling, media campaigns, supportive environment, other), scaled linearly over the implementation window by calc_sodium_policy_costs().","reform_cost = 0.05; label_cost = 0.05; media_cost = 0.05; support_cost = 0.05; other_cost = 0.00; per_capita_cost; exchange (default 1)","Global - one per-capita cost for all countries","Whole modelled population (population divided by 4 in the cost formula)","NA","Linear ramp from the start year to the end year of implementation, flat thereafter","policy component (USD per capita per year)","NA - not attributed in the code","NA - no citation in code; candidate costing references exist in docs/references.bib (e.g. Cobiac 2015/2017, Collins 2014) but are not linked to these values","NA","code/06_run_scenarios_targets.R (default_sodium_policy_table, summarize_sodium_policy_package, scenario per_capita_cost attributes); code/07_run_interventions.R retains calc_sodium_policy_costs() and build_sodium_intake_table() but the active source-split scenarios do not populate a per-capita cost","default_sodium_policy_table(); summarize_sodium_policy_package(); calc_sodium_policy_costs(); build_sodium_intake_table()","06_run_scenarios_targets (costing) / 07_run_interventions Section 3b (retained cost helpers)","NA - placeholder values, no version recorded","in code (no external data file)","All four active components carry the same uniform 0.05 USD per capita placeholder, with no country, income-group or currency-year attribution. The Pop/4 divisor in calc_sodium_policy_costs() is described only as quarterly scaling and is undocumented. The active 07 scenarios carry intervention names rather than costs, so no costing output is produced by the current run - economic evaluation is not yet wired into the source-split path.","Source and currency year for every unit cost; meaning of the Pop/4 divisor; whether costing should be driven from 07 rather than 06"
"scenario_and_scaleup_parameters","in_script_parameter","Scenario definitions, scale-up window, model flags and structural constants","00_run_model.R / 07_run_interventions.R","code/00_run_model.R (L45-89); code/07_run_interventions.R (L64-113, L1115, L1743-1748)","R constants / control flags","NA","The run configuration treated as model input: which interventions and scenario mode to run, the 2026-2030 scale-up window, the model flags controlling baseline construction, the minimum-intake floor of 2 g/day, the cause map, and the 10-country priority list the parallel loop actually iterates over.","selected_interventions; scenario_mode; include_placeholders_in_package; SCALEUP_YEAR1 = 2026; SCALEUP_YEAR2 = 2030; ADULT_POPULATION_ONLY = FALSE; run_adjustment_model; run_bgmx_trend; run_CF_trend; run_CF_trend_80; run_CF_trend_ihme; run_packaged_trend; PACKAGED_TREND_METHOD; PACKAGED_TREND_AFTER_2030; cause_map; dx_include; minimum intake floor 2 g/day; locs (10 priority countries); ncores = 6","Run restricted to Viet Nam, Philippines, Bangladesh, China, Ethiopia, India, Malaysia, Thailand, Cameroon, Nigeria (Greenland and Bermuda excluded from the full list before the override)","Adults 20-95","Female, Male","Projection to 2050; results reported at 2030, 2040 and 2050; scale-up 2026-2030","run configuration","Project decisions (UW / RTSL meeting notes)","NA - configuration set in code; rationale recorded in code comments and in dev/ meeting notes","NA","code/00_run_model.R; code/05_build_baseline.R (flag branches); code/07_run_interventions.R (L64-113, L1743-1748)","build_scenario_configs(); run_multiple_scenarios(); foreach loop over locs","00_run_model (orchestration) -> 05 / 07","Per analysis round; current settings as of the 2026-07-23 status run","in code (no external data file)","The country list is hard-overwritten to the 10 priority countries at L1747, so the preceding data-driven locs assignment (all data.in locations minus Greenland and Bermuda) is dead code. ADULT_POPULATION_ONLY = FALSE is a temporary approval (2026-07-22) that lets the run proceed on the stale school-inclusive public-procurement share with a printed caveat; it should revert to TRUE once RTSL supplies adults-only shares. Absolute Windows paths are hard-coded in 00_run_model.R (wd, wd_temp), so the pipeline is not portable without editing. 02_load_inputs.R is sourced by 00 but cannot complete because several of its inputs are absent.","Whether the run should remain restricted to the 10 priority countries; when ADULT_POPULATION_ONLY reverts to TRUE"
"location_name_crosswalk","in_script_parameter","Location-name harmonisation crosswalk (name_map)","05_build_baseline.R","code/05_build_baseline.R (L106-131); also inline renames at L37-39, L11","R named character vector (17 entries)","NA","Maps colloquial country names in the exposure and coverage inputs to the canonical model location names (e.g. Vietnam -> Viet Nam, South Korea -> Republic of Korea), so bp_data6.csv, covfxn2.csv, the source shares and the Euromonitor trends all join to b_rates.","name_map (17 name pairs); plus inline renames for United States of America, Bolivia (Plurinational State of), United Republic of Tanzania and North Korea","17 mapped names; all other locations pass through unchanged (fcoalesce)","NA","NA","NA","location name pair","Project-internal","NA - defined in code","NA","code/05_build_baseline.R (L128, L131); code/07_run_interventions.R (L742, reused for the Euromonitor geography mapping)","fcoalesce(); build_sodium_source_shares() country labels rely on the same canonical names","05_build_baseline (name harmonisation)","Extend when a new input introduces a new spelling","in code (no external data file)","07 depends on name_map surviving in the global environment from 05 (it is used at L742 for the Euromonitor geography mapping, where only Vietnam -> Viet Nam matters among the 10 priority countries); running 07 without 05 in the same session would fail or silently skip the mapping. Mismatches elsewhere fail silently as NA joins rather than errors, so row counts should be checked after every join. countrycode is loaded in 00 but the harmonisation is done by this manual map.","None"
"sodium_intake_microdata","processed_file","Sodium intake by country-age-sex (upstream of the scenario file)","sodium_data.rds","data/processed/Sodium/sodium_data.rds","rds","NA","Age-sex-specific sodium and salt intake by country and year; population-weighted in 02 to the country means that become sodium_policy_scenarios.rds.","location; sex; age (age.group); year; sodium_current; salt","Approximately 192 locations (inferred from the derived scenario file)","GBD 5-year groups 20 to 95 plus (inferred from the merge keys)","Female, Male (inferred)","Includes at least 2019-2024 (02 filters to year >= 2019 and takes 2024 as baseline)","location x age group x sex x year","NA - not documented in code","NA - candidate references in docs/references.bib include Powles et al. BMJ Open 2013 (global 24-h urinary sodium) and GBD dietary-risk exposure, but the code makes no attribution","NA","code/02_load_inputs.R (L9)","readRDS(); weighted.mean() aggregation; interpolate_sodium_reduction()","02_load_inputs (input rebuild only; not needed for a standard model run)","NA","MISSING - the data/processed/Sodium/ directory does not exist in this checkout","Because this file is absent, sodium_policy_scenarios.rds cannot be regenerated here and 02 cannot complete; the committed scenario file must be taken on trust. This is the single most important undocumented provenance gap in the input chain, since baseline sodium intake scales every result.","Locate the file, its upstream data source, survey years, measurement method (24-h urine vs recall) and citation"
"ihme_total_population","raw_file","IHME/GBD total population by location-year-sex-age group","totalpop_ihme.rds","data/raw/GBD/totalpop_ihme.rds","rds","NA","Population weights used in 02 to aggregate age-sex-specific sodium and TFA intake to country means.","location; year_id; sex_name; age_group_name; val (renamed population)","GBD locations","GBD age groups (<1 year through 95 plus; matched to single ages 20-95)","Female, Male","Through 2019 (02 averages population over years because the series ends at 2019)","location x sex x age group (x year before averaging)","Institute for Health Metrics and Evaluation (IHME)","GBD population estimates (release not recorded in code)","NA","code/02_load_inputs.R (L13, L202)","readRDS(); merge() with the age crosswalk; weighted.mean()","02_load_inputs (input rebuild only)","GBD round","MISSING from data/raw/GBD/ (which contains only two IHME-GBD_2023_DATA zip extracts)","02 also applies an odd rename mapping Ukraine (without Crimea and Sevastopol) to Turkey at L18, which looks like a copy-paste error from the TFA block below it (where the same key maps to Ukraine). Population is averaged over years, so intake weights are not year-specific.","GBD release; whether the Ukraine-to-Turkey rename at L18 is a bug; relationship to the two GBD 2023 zip files present in data/raw/GBD/"
"gbd_2023_data_extracts","raw_file","IHME GBD 2023 custom data extracts (zipped)","IHME-GBD_2023_DATA-ed5b485d-1.zip; IHME-GBD_2023_DATA-f6560e63-1.zip","data/raw/GBD/","zip (csv inside)","NA","GBD 2023 results downloads that are the presumed upstream source of the calibrated baseline rates (incidence, prevalence, deaths by location-age-sex-cause). No script in code/00-07 reads them directly.","NA - not read by the pipeline in this repository","NA - not inspected (archives not opened by the pipeline)","NA","NA","GBD 2023 round","NA","Institute for Health Metrics and Evaluation (IHME) - GBD Results Tool","GBD 2023 results (custom query; the hash in each filename identifies the GHDX download)","https://vizhub.healthdata.org/gbd-results/","None in code/00-07 - present as provenance for the externally built baseline rates","NA","upstream of 05 (external calibration, script not in repository)","GBD 2023 round; files dated 2026-01-23","present locally, git-ignored (data/raw/**)","Listed for completeness of the source registry: these archives document the GBD vintage behind the baseline rates but are not consumed by any pipeline script, so the transformation from them to adjusted_searo_part*.rds is not reproducible in this repository.","The GBD Results Tool query behind each hash (measures, causes, years, locations) and which script consumed them"
